Facility Number,Facility Name,Region,District,Council,Facility Type
11131009,Gaala,Dodoma,Kondoa,Kondoa DC,Dispensary
10116803,Gairo,Morogoro,Gairo,Gairo DC,Health Center
11414506,Gairo,Morogoro,Gairo,Gairo DC,Hospital - District Hospital
10116901,Gairo Mission,Morogoro,Gairo,Gairo DC,Dispensary
10117009,Gajal,Manyara,Babati,Babati DC,Dispensary
11022001,Galagaza,Pwani,Kibaha,Kibaha TC,Dispensary
10117107,Galamba,Shinyanga,Shinyanga,Shinyanga MC,Dispensary
11353705,Galambo,Dar es Salaam,Temeke,Temeke MC,Health Labs - Level IA2 (Dispensary Laboratory)
11240702,Galangala,Manyara,Hanang,Hanang DC,Dispensary
10117303,Galigali,Dodoma,Mpwapwa,Mpwapwa DC,Dispensary
11457407,Galijembe,Mbeya,Mbeya,Mbeya DC,Dispensary
10117401,Gallapo,Manyara,Babati,Babati DC,Health Center
11143602,Gallilee,Dar es Salaam,Ilala,Ilala MC,Dispensary
10117508,Gallu,Mwanza,Ukerewe,Ukerewe DC,Dispensary
10916002,Galula,Songwe,Songwe,Songwe DC,Dispensary
10117704,Gamasara,Mara,Tarime,Tarime TC,Dispensary
10117802,Gambajiga,Mwanza,Misungwi,Misungwi DC,Dispensary
10117900,Gambosi,Simiyu,Bariadi,Bariadi DC,Dispensary
11024107,Gano GYN,Ruvuma,Songea,Songea MC,Clinic - Other Clinic
10118106,Gantamome,Mara,Serengeti,Serengeti DC,Dispensary
10118400,Gare,Tanga,Lushoto,Lushoto DC,Dispensary
10118507,Gasuma,Simiyu,Bariadi,Bariadi DC,Dispensary
10118605,Gaswa,Simiyu,Itilima,Itilima DC,Dispensary
10118703,Gavao,Kilimanjaro,Same,Same DC,Dispensary
10118801,Gawaye,Dodoma,Dodoma,Dodoma MC,Dispensary
11423809,GDN,Dodoma,Dodoma,Dodoma MC,Health Labs - Level IA2 (Dispensary Laboratory)
11266505,Geca,Morogoro,Kilosa,Kilosa DC,Health Labs - Level III single purpose Health Laboratory
10118909,Gedamar,Manyara,Babati,Babati DC,Dispensary
10119007,Gehandu,Manyara,Hanang,Hanang DC,Dispensary
10119105,Gehandu,Manyara,Mbulu,Mbulu TC,Dispensary
10119203,Geita,Geita,Geita,Geita TC,Hospital - Regional Referral Hospital
10119301,Geita Gold Mine,Geita,Geita,Geita TC,Health Center
11156009,Geita HTC,Geita,Geita,Geita TC,Clinic
11155901,Geita Prison,Geita,Geita,Geita TC,Dispensary
11124008,Geita TCMC,Geita,Geita,Geita TC,Dispensary
11208800,Geita Town,Geita,Geita,Geita TC,Dispensary
10119409,Gelai Bomba,Arusha,Longido,Longido DC,Dispensary
10119506,Gelai Lumbwa,Arusha,Longido,Longido DC,Dispensary
11138805,Gely,Iringa,Iringa,Iringa MC,Clinic - Specialized clinic
10119604,Gemai,Tanga,Korogwe,Korogwe DC,Dispensary
11362508,GEMSA,Arusha,Arusha,Arusha CC,Clinic - Specialized clinic
11333602,Gemsa,Mwanza,Nyamagana,Nyamagana MC,Health Labs - Level IA2 (Dispensary Laboratory)
10119702,Gendabi,Manyara,Hanang,Hanang DC,Health Center
10119800,Gendagenda,Tanga,Handeni,Handeni DC,Dispensary
11139305,Genesis,Dar es Salaam,Kinondoni,Kinondoni MC,Clinic - Other Clinic
11347401,Genesis,Dar es Salaam,Kinondoni,Kinondoni MC,Health Labs - Level IA2 (Dispensary Laboratory)
11442003,Genesis,Dar es Salaam,Ilala,Ilala MC,Health Labs - Level IA2 (Dispensary Laboratory)
11410706,Genesis,Songwe,Songwe,Songwe DC,Dispensary
11195100,Genesis,Mbeya,Kyela,Kyela DC,Hospital - Hospital at District Level
10119908,Genkuru,Mara,Tarime,Tarime DC,Health Center
10120004,Gera,Kagera,Missenyi,Missenyi DC,Dispensary
11434307,Gereza majimaji,Ruvuma,Tunduru,Tunduru DC,Dispensary
10926000,Gereza Masasi,Mtwara,Masasi,Masasi TC,Dispensary
10957100,Gereza Ngudu,Mwanza,Kwimba,Kwimba DC,Dispensary
10120102,Gerezani,Dar es Salaam,Ilala,Ilala MC,Dispensary
10120200,Gesarya,Mara,Serengeti,Serengeti DC,Dispensary
11225907,Gesbert,Manyara,Babati,Babati DC,Dispensary
10120308,Getamock,Arusha,Karatu,Karatu DC,Dispensary
10120406,Getanuwas,Manyara,Hanang,Hanang DC,Dispensary
10120503,Getasam,Manyara,Hanang,Hanang DC,Dispensary
10120601,Gezaulole,Dar es Salaam,Kigamboni,Kigamboni MC,Dispensary
10963308,Ghalunyangu,Singida,Singida,Singida DC,Dispensary
11210708,Ghana Family,Mwanza,Ilemela,Ilemela MC,Clinic - Dental Clinic
10121003,Gibaso,Mara,Tarime,Tarime DC,Dispensary
10121101,Gibeshi,Simiyu,Bariadi,Bariadi DC,Dispensary
10121209,Gichameda,Manyara,Babati,Babati DC,Dispensary
10121307,Gidagamowd,Manyara,Hanang,Hanang DC,Dispensary
10121502,Gidahababieg,Manyara,Hanang,Hanang DC,Dispensary
10121600,Gidamilanda,Arusha,Karatu,Karatu DC,Dispensary
10121708,Gidas,Manyara,Babati,Babati DC,Health Center
10121806,Gidmadoy,Manyara,Mbulu,Mbulu DC,Dispensary
10121904,Gijedabung,Manyara,Babati,Babati DC,Dispensary
11293209,Gillah,Tanga,Tanga,Tanga CC,Dispensary
10122002,Gininiga,Simiyu,Busega,Busega DC,Dispensary
10122100,Gisani,Mwanza,Nyamagana,Nyamagana MC,Health Center
10122208,Gitting,Manyara,Hanang,Hanang DC,Dispensary
10122306,Gitu,Tanga,Kilindi,Kilindi DC,Dispensary
11200602,Global,Arusha,Arusha,Arusha CC,Health Labs - Level IA2 (Dispensary Laboratory)
10122404,Gloria,Arusha,Arusha,Arusha CC,Dispensary
11267602,Glory,Morogoro,Ulanga,Malinyi DC,Health Labs
11464104,Glory,Pwani,Bagamoyo,Bagamoyo DC,Maternity and Nursing Home
11209006,Glory to God,Dar es Salaam,Ilala,Ilala MC,Dispensary
11164606,Glory Vingunguti,Dar es Salaam,Ilala,Ilala MC,Dispensary
10122707,GM Itezi,Mbeya,Mbeya,Mbeya CC,Dispensary
11250004,GML HEALTH SPECILIZED POLY,Kilimanjaro,Moshi,Moshi MC,Clinic - Other Clinic
11288705,Goa,Morogoro,Morogoro,Morogoro MC,Clinic - Dental Clinic
10122903,Goba,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
11326709,God The Lord,Dar es Salaam,Ubungo,Ubungo MC,Health Labs - Level IA2 (Dispensary Laboratory)
10123207,Godegode,Dodoma,Mpwapwa,Mpwapwa DC,Dispensary
10988309,Godwin,Dar es Salaam,Ilala,Ilala MC,Health Labs
11271802,Gogadi,Dar es Salaam,Ilala,Ilala MC,Dispensary
11344002,Gogadi,Dar es Salaam,Ilala,Ilala MC,Health Labs - Level IA2 (Dispensary Laboratory)
11467502,Gogadi Nyeburu,Dar es Salaam,Ilala,Ilala MC,Dispensary
10123403,Goha,Tanga,Korogwe,Korogwe DC,Dispensary
10123500,Goima,Dodoma,Chemba,Chemba DC,Dispensary
10123608,Goima VA,Dodoma,Chemba,Chemba DC,Dispensary
11338705,Golden,Mwanza,Ilemela,Ilemela MC,Health Labs - Level IA2 (Dispensary Laboratory)
11187501,Golden Grace,Shinyanga,Shinyanga,Shinyanga MC,Dispensary
11457808,Golden Vision Optical Centre,Dar es Salaam,Ubungo,Ubungo MC,Clinic - Optometry Clinic
10123804,Gombe,Kigoma,Kigoma,Kigoma DC,Dispensary
11051309,Gombero,Tanga,Kilindi,Kilindi DC,Dispensary
10124000,Gombero,Tanga,Mkinga,Mkinga DC,Dispensary
10124206,Gomvu,Dar es Salaam,Kigamboni,Kigamboni MC,Dispensary
10124304,Gonga,Dodoma,Chemba,Chemba DC,Dispensary
10124402,Gongali,Arusha,Karatu,Karatu DC,Dispensary
11015304,Gongo,Pwani,Bagamoyo,Chalinze DC,Dispensary
10848700,Gongo la mboto,Dar es Salaam,Ilala,Ilala MC,Dispensary
11342406,Gongo la mboto,Dar es Salaam,Ilala,Ilala MC,Health Labs - Level IA2 (Dispensary Laboratory)
10853007,Gongo la Mboto Bahari,Dar es Salaam,Ilala,Ilala MC,Dispensary
10124607,Gonja Lutheran,Kilimanjaro,Same,Same DC,Hospital - Hospital at District Level
11243807,Good Hope,Dar es Salaam,Temeke,Temeke MC,Dispensary
11334807,Good Hope,Mwanza,Magu,Magu DC,Health Labs - Level IA2 (Dispensary Laboratory)
11421909,Good hope,Dodoma,Kongwa,Kongwa DC,Health Labs - Level IA2 (Dispensary Laboratory)
11430203,Good hope,Dar es Salaam,Temeke,Temeke MC,Clinic - Diagnostic Centre
11392904,Good hope Medical care,Kilimanjaro,Hai,Hai DC,Dispensary
10125107,Good Samaritan,Tabora,Uyui,Uyui DC,Dispensary
11129405,Good samaritan,Morogoro,Kilombero,Mlimba DC,Hospital - Other Hospital
11448506,Good Samaritan,Morogoro,Kilombero,Ifakara TC,Hospital - Super Specialized Hospital at National Level
10125009,Good Samaritan,Mwanza,Nyamagana,Nyamagana MC,Clinic - General Clinic
11357408,Goodlife,Tanga,Handeni,Handeni TC,Dispensary
11307203,Goodluck,Ruvuma,Mbinga,Mbinga TC,Health Labs - Level IA2 (Dispensary Laboratory)
10125401,Goranga,Arusha,Karatu,Karatu DC,Dispensary
11280008,Gospel Commission M,Mwanza,Misungwi,Misungwi DC,Dispensary
10125606,Goweko,Tabora,Uyui,Uyui DC,Dispensary
11438107,Goziba,Kagera,Muleba,Muleba DC,Dispensary
11279001,GPAS,Dodoma,Dodoma,Dodoma MC,Health Labs - Level IA2 (Dispensary Laboratory)
10524300,Grace&Jane,Kilimanjaro,Same,Same DC,Dispensary
11132703,Grambah,Mwanza,Ilemela,Ilemela MC,Health Center
11330106,Great Hope,Pwani,Mkuranga,Mkuranga DC,Health Labs - Level IA2 (Dispensary Laboratory)
11435501,Green,Mara,Tarime,Tarime DC,Health Labs - Level IA2 (Dispensary Laboratory)
11469001,Green city Modern,Morogoro,Morogoro,Morogoro MC,Dispensary
11465700,Green Cross Medical,Mbeya,Mbeya,Mbeya CC,Clinic - Dental Clinic
11464408,Green View,Mwanza,Ilemela,Ilemela MC,Health Labs - Level III single purpose Health Laboratory
11190409,Grette,Dar es Salaam,Kigamboni,Kigamboni MC,Clinic - Other Clinic
10125802,GS,Iringa,Kilolo,Kilolo DC,Dispensary
10916903,Gua,Songwe,Songwe,Songwe DC,Dispensary
10881904,Guduwe,Simiyu,Bariadi,Bariadi TC,Dispensary
10126302,Gula,Simiyu,Maswa,Maswa DC,Dispensary
10126507,Gulwe,Dodoma,Mpwapwa,Mpwapwa DC,Dispensary
10126605,Gumanga,Singida,Mkalama,Mkalama DC,Dispensary
10126703,Gumba,Pwani,Kibaha,Kibaha DC,Dispensary
10126801,Gumbiro,Ruvuma,Songea,Madaba DC,Dispensary
10905602,Gumbonneka,Tanga,Handeni,Handeni DC,Dispensary
11272008,Gunda,Morogoro,Morogoro,Morogoro MC,Health Labs - Level IA2 (Dispensary Laboratory)
10126909,Gunge,Manyara,Simanjiro,Simanjiro DC,Dispensary
10127007,Gungu,Kigoma,Kigoma,Kigoma Ujiji MC,Health Center
10127105,Gunyoda,Manyara,Mbulu,Mbulu TC,Dispensary
10127301,Gurumeti,Mara,Serengeti,Serengeti DC,Dispensary
10127409,Gurungu,Singida,Manyoni,Itigi DC,Dispensary
10127604,Gusuhi,Mara,Serengeti,Serengeti DC,Dispensary
10127702,Guta,Mara,Bunda,Bunda TC,Dispensary
10127800,Gwandi,Dodoma,Chemba,Chemba DC,Dispensary
10127908,Gwandi,Dodoma,Chamwino,Chamwino DC,Dispensary
10128104,Gwanumpu,Kigoma,Kakonko,Kakonko DC,Health Center
10128202,Gwarama,Kigoma,Kakonko,Kakonko DC,Dispensary
10128408,Gwata,Pwani,Kibaha,Kibaha DC,Dispensary
10128505,Gwata,Pwani,Kisarawe,Kisarawe DC,Dispensary
11394207,Gyekrum Arusha,Arusha,Karatu,Karatu DC,Dispensary
10128701,Gyekrum Lambo,Arusha,Karatu,Karatu DC,Dispensary
10005200,H.H Agakhan,Mwanza,Nyamagana,Nyamagana MC,Hospital - Hospital at District Level
10129005,Habiya,Simiyu,Itilima,Itilima DC,Dispensary
11421302,Haemeda,Dar es Salaam,Kinondoni,Kinondoni MC,Clinic - Medical Clinic
10129407,Hafford,Dar es Salaam,Temeke,Temeke MC,Hospital - Hospital at District Level
10129504,Hai,Kilimanjaro,Hai,Hai DC,Hospital - District Hospital
11288000,Hai,Kilimanjaro,Hai,Hai DC,Clinic - Optometry Clinic
11288206,Hai Vision Centre -,Kilimanjaro,Hai,Hai DC,Clinic - Optometry Clinic
11430301,Hakika,Pwani,Bagamoyo,Bagamoyo DC,Health Labs - Level IA2 (Dispensary Laboratory)
11418904,Hakika Eye Care Centre,Dar es Salaam,Ilala,Ilala MC,Clinic - Optometry Clinic
11468100,Hakimi,Morogoro,Morogoro,Morogoro MC,Clinic - Specialized clinic
11370606,Hakimu,Songwe,Mbozi,Mbozi DC,Dispensary
10129700,Halambo,Songwe,Mbozi,Mbozi DC,Dispensary
10129808,Halawa,Simiyu,Bariadi,Bariadi DC,Dispensary
10130002,Hale Sisi kwa Sisi,Tanga,Korogwe,Korogwe DC,Dispensary
10130100,Hale TANESCO,Tanga,Korogwe,Korogwe DC,Dispensary
11319806,Haleluya,Tabora,Tabora,Tabora MC,Health Labs - Level IA2 (Dispensary Laboratory)
11307908,Haleluya,Ruvuma,Mbinga,Mbinga TC,Health Labs - Level IA2 (Dispensary Laboratory)
10130404,Halungu,Songwe,Mbozi,Mbozi DC,Dispensary
10130501,Hamai,Dodoma,Chemba,Chemba DC,Health Center
11267808,Hamasa,Morogoro,Kilosa,Kilosa DC,Health Labs
11236904,Hambalawei,Tanga,Lushoto,Lushoto DC,Dispensary
10130707,Hampangala,Songwe,Mbozi,Mbozi DC,Dispensary
10862408,Hamu,Kilimanjaro,Moshi,Moshi MC,Dispensary
10130609,Hamukoko,Mwanza,Ukerewe,Ukerewe DC,Dispensary
10130903,Hamurumo,Mwanza,Sengerema,Buchosa DC,Dispensary
10945203,Hamuyebe,Mwanza,Ukerewe,Ukerewe DC,Dispensary
10131001,Hamwelo,Songwe,Mbozi,Mbozi DC,Dispensary
10864406,Hananasif,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
10131109,Handali,Dodoma,Chamwino,Chamwino DC,Health Center
10131207,Handeni,Kilimanjaro,Mwanga,Mwanga DC,Dispensary
10131305,Handeni,Tanga,Handeni,Handeni TC,Hospital - District Hospital
11440201,Handeni Prison,Tanga,Handeni,Handeni TC,Dispensary
10131403,Haneti,Dodoma,Chamwino,Chamwino DC,Health Center
10131500,Hanga,Pwani,Rufiji,Kibiti DC,Dispensary
10131706,Hanga,Ruvuma,Namtumbo,Namtumbo DC,Health Center
10131804,Hanga ngadinda,Ruvuma,Songea,Madaba DC,Dispensary
10131902,Hangomba,Songwe,Mbozi,Mbozi DC,Dispensary
10980806,Hanseketwa,Songwe,Mbozi,Mbozi DC,Dispensary
10132206,Hantesya,Songwe,Mbozi,Mbozi DC,Dispensary
10102202,Happy,Morogoro,Kilombero,Ifakara TC,Dispensary
11428608,Happy,Morogoro,Kilombero,Ifakara TC,Health Labs - Level IA2 (Dispensary Laboratory)
10990902,Haraka,Songwe,Mbozi,Mbozi DC,Dispensary
10132509,Harbanget,Manyara,Mbulu,Mbulu DC,Dispensary
11452206,Harmon Mhada,Mwanza,Ilemela,Ilemela MC,Clinic - Specialized Polyclinic
11426600,Haroub,Pwani,Bagamoyo,Chalinze DC,Health Labs - Level IA2 (Dispensary Laboratory)
11288402,Harowin Eye & Optometry Services,Kilimanjaro,Moshi,Moshi MC,Clinic - Optometry Clinic
11349007,Hasafa,Dar es Salaam,Kinondoni,Kinondoni MC,Health Labs - Specimen collection point
10132705,Hasamba,Songwe,Mbozi,Mbozi DC,Dispensary
11371909,Hasibraym,Pwani,Kibaha,Kibaha TC,Dispensary
10132803,Hassama,Manyara,Mbulu,Mbulu TC,Dispensary
11349800,Hassan,Dar es Salaam,Kinondoni,Kinondoni MC,Health Labs - Level IA2 (Dispensary Laboratory)
10954906,Hatelele,Songwe,Mbozi,Mbozi DC,Dispensary
10133009,Haubi,Dodoma,Kondoa,Kondoa DC,Dispensary
10133107,Haubi VA,Dodoma,Kondoa,Kondoa DC,Dispensary
10133401,Haydarer,Manyara,Mbulu,Mbulu DC,Dispensary
11430007,HB,Dar es Salaam,Temeke,Temeke MC,Health Labs - Level IA2 (Dispensary Laboratory)
11285307,HD,Geita,Geita,Geita TC,Health Labs - Level IA2 (Dispensary Laboratory)
11253706,Head 2 Toe,Dar es Salaam,Kinondoni,Kinondoni MC,Clinic - Other Clinic
10101506,Health Care,Kilimanjaro,Moshi,Moshi MC,Dispensary
10003202,Health Home Charitable,Dar es Salaam,Ilala,Ilala MC,Dispensary
10133704,Health Master,Arusha,Arusha,Arusha CC,Dispensary
11362802,Health4All,Arusha,Arusha,Arusha CC,Clinic - Specialized clinic
11251502,Healthscope,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
11350101,Heameda,Dar es Salaam,Kinondoni,Kinondoni MC,Health Labs - Level IA2 (Dispensary Laboratory)
11482200,Heartford,Lindi,Ruangwa,Ruangwa DC,Dispensary
11344208,Hebab,Dar es Salaam,Ilala,Ilala MC,Dispensary
10133900,Hebi Juu,Dodoma,Kondoa,Kondoa DC,Dispensary
10134008,Hedaru,Kilimanjaro,Same,Same DC,Health Center
10134106,Hedaru COGI,Kilimanjaro,Same,Same DC,Dispensary
10134204,Hedaru Msamaria,Kilimanjaro,Same,Same DC,Dispensary
11322106,Hefsiba,Tanga,Tanga,Tanga CC,Health Labs - Level IA2 (Dispensary Laboratory)
10134507,Heka,Singida,Manyoni,Manyoni DC,Dispensary
10134605,Hekalungu,Tanga,Lushoto,Lushoto DC,Dispensary
11307007,Hekima,Ruvuma,Songea,Songea MC,Health Labs - Level IA2 (Dispensary Laboratory)
11318807,Hekima,Tabora,Tabora,Tabora MC,Health Labs - Level IA2 (Dispensary Laboratory)
11260208,Hekima,Mbeya,Mbeya,Mbeya CC,Health Labs - Level III single purpose Health Laboratory
11266006,Hekima,Morogoro,Morogoro,Morogoro MC,Health Labs - Level IA2 (Dispensary Laboratory)
11445402,Hekima,Kigoma,Kigoma,Kigoma DC,Health Labs - Level IA2 (Dispensary Laboratory)
11241907,Hekima,Dar es Salaam,Ubungo,Ubungo MC,Health Center
11297107,Hekima,Mtwara,Mtwara,Mtwara MC,Health Labs - Level IA2 (Dispensary Laboratory)
11464505,Hekima,Mwanza,Ilemela,Ilemela MC,Health Labs - Level III single purpose Health Laboratory
10134801,Hekima,Dar es Salaam,Temeke,Temeke MC,Dispensary
10134703,Hekima,Njombe,Njombe,Makambako TC,Dispensary
11214802,Heko,Dar es Salaam,Ilala,Ilala MC,Dispensary
11329902,Heleey,Pwani,Kibaha,Kibaha TC,Health Labs - Level IA2 (Dispensary Laboratory)
10135105,Hembahemba,Dodoma,Kongwa,Kongwa DC,Dispensary
10135203,Hembeti,Morogoro,Mvomero,Mvomero DC,Dispensary
10135409,Herembe,Kigoma,Uvinza,Uvinza DC,Dispensary
10135506,Heri,Arusha,Arusha,Arusha CC,Dispensary
10135604,Heri-Mission,Kigoma,Buhigwe,Buhigwe DC,Hospital - Hospital at District Level
10135800,Heru Juu,Kigoma,Kasulu,Kasulu TC,Dispensary
10135908,Heru-Ushingo,Kigoma,Kasulu,Kasulu DC,Dispensary
10136104,Hezya,Songwe,Mbozi,Mbozi DC,Dispensary
11072304,Highway,Arusha,Arusha,Arusha CC,Dispensary
11195707,Highway Health,Arusha,Arusha,Arusha CC,Health Labs - Level IA2 (Dispensary Laboratory)
10136202,Hika,Singida,Manyoni,Manyoni DC,Dispensary
10954700,Hilbadaw,Manyara,Hanang,Hanang DC,Health Center
11205304,Hildergard,Kilimanjaro,Siha,Siha DC,Dispensary
10932805,Himo,Kilimanjaro,Moshi,Moshi DC,Health Center
10136300,Himo COGI,Kilimanjaro,Moshi,Moshi DC,Dispensary
10136505,Hindawashi,Shinyanga,Kishapu,Kishapu DC,Dispensary
10136809,Hindu Mandal Umoja,Kilimanjaro,Moshi,Moshi MC,Dispensary
11173507,Hinga,Ruvuma,Nyasa,Nyasa DC,Dispensary
10137309,Hingawali,Lindi,Lindi,Lindi DC,Dispensary
10137407,Hinju,Mtwara,Mtwara,Nanyamba TC,Dispensary
11404009,Hisani,Tanga,Korogwe,Korogwe TC,Health Center
10127203,Hitech Sai,Dar es Salaam,Ilala,Ilala MC,Clinic - Dental Clinic
11055804,Hitech Sai,Dar es Salaam,Ilala,Ilala MC,Hospital - Hospital at District Level
10921005,HMJ,Mtwara,Tandahimba,Tandahimba DC,Dispensary
10137504,Hogoro,Dodoma,Kongwa,Kongwa DC,Dispensary
10137602,Holili,Kilimanjaro,Rombo,Rombo DC,Health Center
10137700,Holili Amec,Kilimanjaro,Rombo,Rombo DC,Dispensary
11346607,Holistic,Dar es Salaam,Ilala,Ilala MC,Health Labs - Level IA2 (Dispensary Laboratory)
10888603,Holly Family,Songwe,Momba,Tunduma TC,Health Center
11237404,Holly Medical Centre,Morogoro,Mvomero,Mvomero DC,Dispensary
11291309,Hollywood,Iringa,Mafinga,Mafinga TC,Health Labs - Level IA2 (Dispensary Laboratory)
11013100,Holy Cross,Morogoro,Morogoro,Morogoro MC,Health Center
10137906,Holy Family,Arusha,Arusha,Arusha CC,Dispensary
10138004,Holyspirit,Arusha,Karatu,Karatu DC,Dispensary
10138102,Hombolo,Dodoma,Dodoma,Dodoma MC,Health Center
10138200,Hombolo Leprosy,Dodoma,Dodoma,Dodoma MC,Dispensary
10138308,Hombolo Makulu,Dodoma,Dodoma,Dodoma MC,Dispensary
10138406,Homboza,Morogoro,Mvomero,Mvomero DC,Dispensary
10138503,Homboza,Pwani,Kisarawe,Kisarawe DC,Health Center
11442806,honanzila,Mwanza,Magu,Magu DC,Health Labs - Level IA2 (Dispensary Laboratory)
10138709,Hondogo,Pwani,Bagamoyo,Chalinze DC,Dispensary
11059007,Honest,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
11329706,Honest,Pwani,Kibaha,Kibaha DC,Health Labs - Level III single purpose Health Laboratory
11459806,Honoral,Mwanza,Ilemela,Ilemela MC,Dispensary
11203609,Hope,Manyara,Babati,Babati TC,Health Labs
11212207,Hope,Lindi,Lindi,Lindi MC,Dispensary
11233603,Hope,Iringa,Kilolo,Kilolo DC,Dispensary
11256400,Hope,Mara,Musoma,Musoma MC,Health Labs
11327307,Hope,Dar es Salaam,Ubungo,Ubungo MC,Health Labs - Level IA2 (Dispensary Laboratory)
11330605,Hope,Mwanza,Nyamagana,Nyamagana MC,Health Labs - Level IA2 (Dispensary Laboratory)
11325201,Hope,Dar es Salaam,Ubungo,Ubungo MC,Health Labs - Level IA2 (Dispensary Laboratory)
11399104,Hope,Songwe,Momba,Tunduma TC,Dispensary
11453802,Hope,Mwanza,Ilemela,Ilemela MC,Clinic - Dental Clinic
11178209,Hope,Arusha,Arusha,Arusha CC,Dispensary
11244600,Hope,Mbeya,Mbeya,Mbeya CC,Clinic - Specialized clinic
10138905,Hope Eye Care,Dar es Salaam,Kinondoni,Kinondoni MC,Clinic - Optometry Clinic
11337109,Hope Miti mirefu,Mwanza,Nyamagana,Nyamagana MC,Health Labs - Level IA2 (Dispensary Laboratory)
11220608,Hope polly,Ruvuma,Songea,Songea MC,Clinic
11226808,Horeb OBSY and GYN Specialized,Mbeya,Mbeya,Mbeya CC,Clinic - Other Clinic
11188001,Horebu Hill,Arusha,Arusha,Arusha DC,Dispensary
10139003,Horohoro,Tanga,Mkinga,Mkinga DC,Dispensary
11145708,Horohoro Boarder,Tanga,Mkinga,Mkinga DC,Dispensary
11328707,Hosea,Pwani,Kibaha,Kibaha TC,Health Labs - Level IA2 (Dispensary Laboratory)
10139101,Hosea,Songwe,Mbozi,Mbozi DC,Dispensary
11133800,Hosiana,Kilimanjaro,Moshi,Moshi DC,Maternity Home
11268406,Hossana,Morogoro,Ulanga,Ulanga DC,Health Labs - Level IA2 (Dispensary Laboratory)
11402001,Hossana,Dar es Salaam,Temeke,Temeke MC,Dispensary
11209104,Hotelitatu,Lindi,Kilwa,Kilwa DC,Dispensary
11304402,Huduma,Kagera,Biharamulo,Biharamulo DC,Health Labs - Level IA2 (Dispensary Laboratory)
10139502,Huduma,Katavi,Mlele,Mlele DC,Dispensary
10139600,Huduma,Mara,Serengeti,Serengeti DC,Dispensary
11266202,Huduma,Dar es Salaam,Temeke,Temeke MC,Dispensary
11095708,Huduma,Mwanza,Nyamagana,Nyamagana MC,Maternity Home
10139405,Huduma,Mwanza,Ukerewe,Ukerewe DC,Dispensary
10855005,Huduma,Kagera,Ngara,Ngara DC,Dispensary
10139307,Huduma,Mwanza,Kwimba,Kwimba DC,Dispensary
10139708,Huduma - Kilimahewa,Mwanza,Ilemela,Ilemela MC,Health Center
10139806,Huduma Mashuleni,Mwanza,Nyamagana,Nyamagana MC,Dispensary
11264400,Huduma maternity,Mara,Tarime,Tarime DC,Maternity Home
11445108,Hulege life line,Kigoma,Buhigwe,Buhigwe DC,Health Labs - Level IA2 (Dispensary Laboratory)
10140108,Hulia,Ruvuma,Tunduru,Tunduru DC,Dispensary
11099900,Humai,Dodoma,Kondoa,Kondoa DC,Dispensary
10140304,Humekwa,Dodoma,Chamwino,Chamwino DC,Dispensary
10953907,Hungumalwa,Mwanza,Kwimba,Kwimba DC,Dispensary
10140402,Hunyari,Mara,Bunda,Bunda DC,Dispensary
10140509,Hurui,Dodoma,Kondoa,Kondoa DC,Dispensary
11142300,Huruma,Dar es Salaam,Temeke,Temeke MC,Dispensary
11305009,Huruma,Njombe,Ludewa,Ludewa DC,Health Labs - Level IA2 (Dispensary Laboratory)
10141205,Huruma,Dar es Salaam,Ilala,Ilala MC,Health Center
11306507,Huruma,Ruvuma,Songea,Songea MC,Health Labs - Level IA2 (Dispensary Laboratory)
11249106,Huruma,Geita,Mbogwe,Mbogwe DC,Dispensary
11319708,Huruma,Tabora,Urambo,Urambo DC,Health Labs - Level IA2 (Dispensary Laboratory)
11137003,Huruma,Geita,Chato,Chato DC,Dispensary
11095101,Huruma,Mwanza,Nyamagana,Nyamagana MC,Maternity and Nursing Home
11087708,Huruma,Mwanza,Magu,Magu DC,Dispensary
11446205,Huruma,Tabora,Tabora,Tabora MC,Health Labs - Level IA2 (Dispensary Laboratory)
11311001,Huruma,Songwe,Momba,Tunduma TC,Health Labs - Level IA2 (Dispensary Laboratory)
11300807,Huruma,Kigoma,Kigoma,Kigoma Ujiji MC,Health Labs - Level IA2 (Dispensary Laboratory)
10873003,Huruma,Kigoma,Kigoma,Kigoma Ujiji MC,Dispensary
10140803,Huruma,Mtwara,Mtwara,Mtwara MC,Dispensary
11094807,Huruma,Ruvuma,Tunduru,Tunduru DC,Dispensary
10140901,Huruma,Kigoma,Kasulu,Kasulu TC,Dispensary
11237208,Huruma,Mwanza,Sengerema,Buchosa DC,Dispensary
11471203,Huruma,Mwanza,Ilemela,Ilemela MC,Dispensary
10942402,Huruma,Mbeya,Mbeya,Mbeya DC,Dispensary
11117409,Huruma,Kagera,Muleba,Muleba DC,Dispensary
10141606,Huruma,Kilimanjaro,Rombo,Rombo DC,Hospital - Council Designated Hospital
11110200,Huruma,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
11118006,Huruma,Manyara,Mbulu,Mbulu DC,Dispensary
10142302,Huruma,Mwanza,Nyamagana,Nyamagana MC,Dispensary
11267309,Huruma,Geita,Geita,Geita DC,Maternity Home
10141508,Huruma COGI,Kilimanjaro,Hai,Hai DC,Dispensary
